"1035","union-ny","Union (NY)","Union College (N.Y.)","2025-12-11 12:04:42","2025-12-11 13:41:20"
"1061","vermont","Vermont","University of Vermont","2025-12-11 12:04:42","2025-12-11 13:41:20"
"1107","western-mich","Western Mich.","Western Michigan University","2025-12-11 12:04:42","2025-12-11 13:41:20"
"1153","wisconsin","Wisconsin","University of Wisconsin, Madison","2025-12-11 12:04:42","2025-12-11 13:41:20"
"1166","yale","Yale","Yale University","2025-12-11 12:04:42","2025-12-11 13:41:20"
"1172","abilene-christian","Abilene Christian","Abilene Christian University","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1173","academy-of-art","Academy of Art","Academy of Art University","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1174","adams-st","Adams St.","Adams State University","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1175","adelphi","Adelphi","Adelphi University","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1176","adrian","Adrian","Adrian College","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1177","agnes-scott","Agnes Scott","Agnes Scott College","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1178","air-force","Air Force","Air Force Academy","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1179","akron","Akron","University of Akron","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1180","ala-huntsville","Alabama-Huntsville","University of Alabama-Huntsville","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1181","alabama","Alabama","University of Alabama","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1182","alabama-am","Alabama A&M","Alabama A&M University","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1183","alabama-st","Alabama St.","Alabama State University","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1184","alas-anchorage","Alas. Anchorage","University of Alaska-Anchorage","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1185","alas-fairbanks","Alas. Fairbanks","University of Alaska-Fairbanks","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1186","albany-ny","Albany (NY)","University at Albany","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1187","albany-st-ga","Albany St. (GA)","Albany State University","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1188","albertus-magnus","Albertus Magnus","Albertus Magnus College","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1189","albion","Albion","Albion College","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1190","albright","Albright","Albright College","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1191","alcorn","Alcorn St.","Alcorn State University","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1192","alderson-broaddus","Alderson Broaddus","Alderson-Broaddus University","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1193","alfred","Alfred","Alfred University","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1194","alfred-st","Alfred State","Alfred State College","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1195","allegheny","Allegheny","Allegheny College","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1196","allen","Allen","Allen","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1197","alma","Alma","Alma College","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1198","alvernia","Alvernia","Alvernia University","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1199","alverno","Alverno","Alverno College","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1200","am-corpus-chris","Texas-Am-Corpus","Texas A&M-Corpus Christi","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1201","american","American","American University","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1202","american-intl","American Int'l","American International College","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1203","american-pr","American (PR)","American University of Puerto Rico","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1204","amherst","Amherst","Amherst College","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1205","anderson-in","Anderson (IN)","Anderson University (Ind.)","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1206","anderson-sc","Anderson (SC)","Anderson University (S.C.)","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1207","angelo-st","Angelo St.","Angelo State University","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1208","anna-maria","Anna Maria","Anna Maria College","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1209","appalachian-st","Appalachian St.","Appalachian State University","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1210","arcadia","Arcadia","Arcadia University","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1211","arizona","Arizona","University of Arizona","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1212","arizona-st","Arizona St.","Arizona State University","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1213","ark-fort-smith","Ark. - Fort Smith","University of Arkansas-Fort Smith","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1214","ark-monticello","Ark.-Monticello","University of Arkansas-Monticello","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1215","ark-pine-bluff","Ark.-Pine Bluff","University of Arkansas-Pine Bluff","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1216","arkansas","Arkansas","University of Arkansas","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1217","arkansas-st","Arkansas St.","Arkansas State University","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1218","arkansas-tech","Arkansas Tech","Arkansas Tech University","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1219","armstrong","Armstrong","Armstrong State University","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1220","army","Army","Army West Point","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1221","asbury","Asbury University","Asbury University","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1222","ashland","Ashland","Ashland University","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1223","assumption","Assumption","Assumption College","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1224","aub-montgomery","Auburn-Montgomery","Auburn-Montgomery","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1225","auburn","Auburn","Auburn University","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1226","augsburg","Augsburg","Augsburg University","2025-12-11 13:41:18","2025-12-11 13:41:18"
"1227","augustana-il","Augustana (IL)","Augustana College (IL)","2025-12-11 13:41:18","2025-12-11 13:41:18"
